D_NAT,M일HAP,Q7A,Q7a_dk,Q7a2,Q7a3,Q7a4,Q7a5,Q7a6,Q7a7,Q7a8,D_GUB,D_MOK,총액1인TOT항공제외2,C문화서1인대체,C오락및1인대체,C미용서1인대체,weight,동행자유형,국가명,여가체험비율,log_총액,year
3,27,1,1.0,,,,,,,,1,1,1093.21,2,1,1,866.0998927,혼자,대만,0.0036589493326991155,6.996873601469082,2023
1,7,1,1.0,,,,,,,,1,2,1621.28,1,1,1,191.333757,혼자,중국,0.0018503898154544557,7.390971239700008,2023
1,71,1,1.0,,,,,,,,1,2,1646.16,1,1,1,193.4345065,혼자,중국,0.0018224230937454438,7.406200581859176,2023
5,5,2,,,,,,6.0,,,1,1,1140.09,2,1,1,298.3907362,친구,홍콩,0.003508494943381663,7.038862485640783,2023
3,8,2,,,,,,6.0,,,1,1,1336.6,1,1,1,636.2142885,친구,대만,0.0022445009726170884,7.19788435507697,2023
4,7,1,1.0,,,,,,,,1,1,1430.0,3,1,1,244.8387551,혼자,미국,0.0034965034965034965,7.265429723253953,2023
3,6,2,,,,4.0,,,,,1,1,1401.8,1,1,1,532.4203911,가족,대만,0.0021401055785418748,7.245512404066225,2023
5,6,2,,,,,,6.0,,,1,1,1790.84,1,3,1,247.6910815,친구,홍콩,0.002791985883719372,7.49044006250333,2023
3,6,2,,2.0,,,,,,,1,1,805.22,1,3,1,636.2142885,가족,대만,0.006209483122624872,6.691115532006593,2023
3,5,2,,,,,,6.0,,,3,1,1352.9,1,1,1,202.59932,친구,대만,0.002217458792224111,7.210005715609315,2023
1,7,2,,2.0,,,,,,,1,2,1480.1,1,1,1,226.3353952,가족,중국,0.002026890074994933,7.299864932043143,2023
5,7,2,,2.0,,4.0,,,,,1,2,1537.2,1,1,1,298.3907362,가족,홍콩,0.00195160031225605,7.337717858690689,2023
3,5,2,,,,4.0,,,,,3,1,1630.0,1,1,1,451.1140216,가족,대만,0.0018404907975460123,7.396335293800808,2023
16,7,1,1.0,,,,,,,,1,2,2145.26,3,3,1,84.90529462,혼자,영국,0.0032630077473126797,7.671016036137734,2023
7,3,1,1.0,,,,,,,,1,1,733.44,1,1,1,285.7760455,혼자,베트남,0.004090314136125654,6.597745794646266,2023
1,11,1,1.0,,,,,,,,1,2,1173.5,1,1,1,248.2216599,혼자,중국,0.0025564550489987218,7.067746015291078,2023
2,4,2,,,,,,6.0,,,1,1,319.2,1,3,1,479.315147,친구,일본,0.015664160401002505,5.765817865575654,2023
10,4,1,1.0,,,,,,,,1,1,144.4,1,1,1,111.4794532,혼자,싱가포르,0.02077562326869806,4.972587226458726,2023
6,4,2,,,,,,,7.0,,1,1,5632.58,1,1,1,216.1829833,직장동료,태국,0.0005326156042168953,8.636322875490043,2023
10,10,2,,2.0,,4.0,,,,,1,1,4222.23,1,1,1,111.4794532,가족,싱가포르,0.0007105250069276189,8.348118703475869,2023
4,10,2,,,3.0,,,,,,1,1,910.0,1,1,1,352.1386856,가족,미국,0.0032967032967032967,6.813444599510896,2023
2,4,1,1.0,,,,,,,,1,1,638.4,1,1,1,438.2327596,혼자,일본,0.004699248120300752,6.458965046135599,2023
1,8,2,,,3.0,,,,,,1,2,1111.88,1,1,1,226.3353952,가족,중국,0.0026981328920387087,7.0138075553183645,2023
5,7,2,,2.0,,4.0,,,,,2,1,1477.42,2,1,1,247.6910815,가족,홍콩,0.0027074223985055026,7.298052602298258,2023
10,7,2,,2.0,3.0,4.0,5.0,,,,1,1,1095.3,1,4,1,120.0590437,가족,싱가포르,0.005477951246233909,6.998783577329701,2023
10,7,2,,,,,5.0,,,,1,1,1092.81,1,1,1,111.4794532,가족,싱가포르,0.002745216460317896,6.996507639579928,2023
10,7,2,,2.0,3.0,4.0,,,,,1,1,4743.8,1,3,1,132.0519844,가족,싱가포르,0.0010540073358910578,8.464593781272846,2023
5,15,1,1.0,,,,,,,,1,1,486.78,1,1,1,247.6910815,혼자,홍콩,0.00616294835449279,6.187812275635029,2023
1,24,2,,,,4.0,,,,,1,2,1010.8,1,1,1,193.4345065,가족,중국,0.0029679461812425804,6.918497375514039,2023
10,6,2,,2.0,3.0,4.0,,,,,1,1,1583.34,4,1,1,92.40156676,가족,싱가포르,0.003789457728599038,7.367291818878028,2023
10,7,2,,,3.0,4.0,,,,,2,2,2210.46,1,1,1,131.3073886,가족,싱가포르,0.0013571835726500366,7.700955917649056,2023
1,6,1,1.0,,,,,,,,1,2,1083.0,1,1,1,153.2711078,혼자,중국,0.002770083102493075,6.9874902470009905,2023
6,8,2,,2.0,,,,,,,1,1,960.93,1,1,1,262.9951819,가족,태국,0.0031219755861509164,6.86790156552643,2023
6,17,1,1.0,,,,,,,,1,1,2225.3,1,1,1,204.3429219,혼자,태국,0.0013481328360221093,7.7076470169720706,2023
6,4,2,,,,,,6.0,,,1,1,1325.07,1,1,1,216.1829833,친구,태국,0.0022640313341936655,7.189220567213536,2023
1,6,1,1.0,,,,,,,,1,1,5000.0,1,1,1,226.3353952,혼자,중국,0.0006,8.517193191416238,2023
2,7,2,,,,,,6.0,,,1,1,779.0,1,1,1,528.7471264,친구,일본,0.0038510911424903724,6.658011045870748,2023
6,6,2,,,,,5.0,,,,1,1,1502.8,1,1,1,381.5508249,가족,태국,0.0019962736225712006,7.3150853136998135,2023
1,11,1,1.0,,,,,,,,1,2,736.44,1,1,1,153.2711078,혼자,중국,0.004073651621313345,6.601827766189006,2023
6,5,2,,,3.0,,,,,,1,1,752.85,1,1,1,270.0759109,가족,태국,0.003984857541342897,6.623866004769052,2023
4,5,2,,2.0,,,,,,,1,1,1365.0,1,1,3,253.4915378,가족,미국,0.003663003663003663,7.21890970761906,2023
1,13,1,1.0,,,,,,,,1,2,1351.07,1,1,1,193.4345065,혼자,중국,0.0022204623002509125,7.20865215008943,2023
1,15,2,,,,4.0,,,,,1,2,1724.22,1,1,1,153.2711078,가족,중국,0.0017399171799422346,7.452530053290965,2023
4,13,2,,2.0,,,,,,,1,2,980.0,2,1,1,212.7026005,가족,미국,0.004081632653061225,6.887552571664617,2023
7,4,2,,,3.0,,,6.0,,,3,1,1265.0,1,1,1,285.7760455,가족,베트남,0.0023715415019762848,7.142827401161621,2023
4,6,1,1.0,,,,,,,,1,2,930.0,3,1,1,352.1386856,혼자,미국,0.005376344086021506,6.835184586147301,2023
7,5,2,,,,,,6.0,,,3,1,1302.0,1,1,1,285.7760455,친구,베트남,0.002304147465437788,7.171656822768514,2023
4,3,2,,,,,5.0,,,,1,1,520.0,1,3,1,229.3823465,가족,미국,0.009615384615384616,6.253828811575473,2023
4,8,1,1.0,,,,,,,,1,2,3900.0,1,1,1,253.4915378,혼자,미국,0.0007692307692307692,8.268731832117737,2023
4,28,1,1.0,,,,,,,,1,2,4250.0,4,1,4,244.8387551,혼자,미국,0.0021176470588235292,8.354674261918463,2023
