D_NAT,M일HAP,Q7A,Q7a_dk,Q7a2,Q7a3,Q7a4,Q7a5,Q7a6,Q7a7,Q7a8,D_GUB,D_MOK,총액1인TOT항공제외2,Q8a03,Q8a12,Q8_1a1,Q8_1a2,Q8_1a3,동행자유형,국가명,웰니스참여,웰니스만족,log_총액,year
3,27,1,1.0,,,,,,,,1,1,1093.21,,,8,1.0,2.0,혼자,대만,0,0,6.996873601469082,2023
1,7,1,1.0,,,,,,,,1,2,1621.28,3.0,,11,2.0,3.0,혼자,중국,1,1,7.390971239700008,2023
1,71,1,1.0,,,,,,,,1,2,1646.16,,,2,4.0,1.0,혼자,중국,0,0,7.406200581859176,2023
5,5,2,,,,,,6.0,,,1,1,1140.09,,,5,1.0,11.0,친구,홍콩,0,0,7.038862485640783,2023
3,8,2,,,,,,6.0,,,1,1,1336.6,3.0,,2,3.0,1.0,친구,대만,1,1,7.19788435507697,2023
4,7,1,1.0,,,,,,,,1,1,1430.0,,,7,4.0,,혼자,미국,0,0,7.265429723253953,2023
3,6,2,,,,4.0,,,,,1,1,1401.8,,,2,1.0,,가족,대만,0,0,7.245512404066225,2023
5,6,2,,,,,,6.0,,,1,1,1790.84,3.0,,3,2.0,15.0,친구,홍콩,1,1,7.49044006250333,2023
3,6,2,,2.0,,,,,,,1,1,805.22,3.0,,3,1.0,2.0,가족,대만,1,1,6.691115532006593,2023
3,5,2,,,,,,6.0,,,3,1,1352.9,3.0,,3,1.0,8.0,친구,대만,1,1,7.210005715609315,2023
1,7,2,,2.0,,,,,,,1,2,1480.1,,,2,1.0,6.0,가족,중국,0,0,7.299864932043143,2023
5,7,2,,2.0,,4.0,,,,,1,2,1537.2,,,2,1.0,14.0,가족,홍콩,0,0,7.337717858690689,2023
3,5,2,,,,4.0,,,,,3,1,1630.0,3.0,,8,11.0,3.0,가족,대만,1,1,7.396335293800808,2023
16,7,1,1.0,,,,,,,,1,2,2145.26,3.0,,1,2.0,3.0,혼자,영국,1,1,7.671016036137734,2023
7,3,1,1.0,,,,,,,,1,1,733.44,3.0,,4,2.0,3.0,혼자,베트남,1,1,6.597745794646266,2023
1,11,1,1.0,,,,,,,,1,2,1173.5,,,2,,,혼자,중국,0,0,7.067746015291078,2023
2,4,2,,,,,,6.0,,,1,1,319.2,,,11,,,친구,일본,0,0,5.765817865575654,2023
10,4,1,1.0,,,,,,,,1,1,144.4,,,15,8.0,1.0,혼자,싱가포르,0,0,4.972587226458726,2023
6,4,2,,,,,,,7.0,,1,1,5632.58,,,2,4.0,1.0,직장동료,태국,0,0,8.636322875490043,2023
10,10,2,,2.0,,4.0,,,,,1,1,4222.23,,12.0,1,12.0,2.0,가족,싱가포르,1,1,8.348118703475869,2023
4,10,2,,,3.0,,,,,,1,1,910.0,3.0,,9,1.0,4.0,가족,미국,1,0,6.813444599510896,2023
2,4,1,1.0,,,,,,,,1,1,638.4,,,1,2.0,,혼자,일본,0,0,6.458965046135599,2023
1,8,2,,,3.0,,,,,,1,2,1111.88,3.0,,1,2.0,3.0,가족,중국,1,1,7.0138075553183645,2023
5,7,2,,2.0,,4.0,,,,,2,1,1477.42,3.0,,6,3.0,2.0,가족,홍콩,1,1,7.298052602298258,2023
10,7,2,,2.0,3.0,4.0,5.0,,,,1,1,1095.3,,,2,11.0,6.0,가족,싱가포르,0,0,6.998783577329701,2023
10,7,2,,,,,5.0,,,,1,1,1092.81,3.0,,2,3.0,4.0,가족,싱가포르,1,1,6.996507639579928,2023
10,7,2,,2.0,3.0,4.0,,,,,1,1,4743.8,3.0,,15,4.0,3.0,가족,싱가포르,1,1,8.464593781272846,2023
5,15,1,1.0,,,,,,,,1,1,486.78,,,5,11.0,6.0,혼자,홍콩,0,0,6.187812275635029,2023
1,24,2,,,,4.0,,,,,1,2,1010.8,3.0,,3,2.0,,가족,중국,1,1,6.918497375514039,2023
10,6,2,,2.0,3.0,4.0,,,,,1,1,1583.34,3.0,,2,15.0,3.0,가족,싱가포르,1,1,7.367291818878028,2023
10,7,2,,,3.0,4.0,,,,,2,2,2210.46,3.0,,15,2.0,1.0,가족,싱가포르,1,0,7.700955917649056,2023
1,6,1,1.0,,,,,,,,1,2,1083.0,,,1,2.0,,혼자,중국,0,0,6.9874902470009905,2023
6,8,2,,2.0,,,,,,,1,1,960.93,,,2,1.0,4.0,가족,태국,0,0,6.86790156552643,2023
6,17,1,1.0,,,,,,,,1,1,2225.3,3.0,,10,3.0,2.0,혼자,태국,1,1,7.7076470169720706,2023
6,4,2,,,,,,6.0,,,1,1,1325.07,,,2,7.0,,친구,태국,0,0,7.189220567213536,2023
1,6,1,1.0,,,,,,,,1,1,5000.0,,,8,10.0,2.0,혼자,중국,0,0,8.517193191416238,2023
2,7,2,,,,,,6.0,,,1,1,779.0,,,2,1.0,4.0,친구,일본,0,0,6.658011045870748,2023
6,6,2,,,,,5.0,,,,1,1,1502.8,,,5,2.0,1.0,가족,태국,0,0,7.3150853136998135,2023
