D_NAT,M일HAP,Q7A,Q7a_dk,Q7a2,Q7a3,Q7a4,Q7a5,Q7a6,Q7a7,Q7a8,D_GUB,D_MOK,총액1인TOT_개별국제교통비제외2,C문화서1인대체,C오락및1인대체,C미용서1인대체,weight,동행자유형,국가명,여가체험비율,log_총액,year
3,5,2,,2.0,,4.0,,,,,1,1,846.3722286511188,2,1,1,784.2784009458401,가족,대만,0.004726052987791062,6.740959249425755,2024
3,6,2,,,,4.0,,,7.0,,1,1,742.9489319800031,1,3,1,607.02126923042,가족,대만,0.006729937664321965,6.610627310161789,2024
1,6,1,1.0,,,,,,,,1,1,727.2560968229955,1,1,1,1049.5001433881,혼자,중국,0.004125094327989058,6.58927868073377,2024
3,5,2,,,3.0,,,,,,1,1,1259.775985100961,1,1,1,876.7969357365749,가족,대만,0.0023813757648027986,7.138689194536667,2024
3,5,2,,,3.0,,,,,,1,1,1024.2812110454718,1,1,1,829.9752930269589,가족,대만,0.0029288831696306673,6.931746388059832,2024
3,5,2,,2.0,,4.0,,,,,1,1,879.2468212893745,1,1,1,787.709568583534,가족,대만,0.003412011197948535,6.77906565609521,2024
1,4,2,,,,,,6.0,,,1,1,1684.5449433207384,1,1,1,1351.39390400194,친구,중국,0.001780896385041594,7.429250743001664,2024
3,7,2,,2.0,,4.0,,,,,1,1,999.4490187823077,1,1,1,763.1009610555441,가족,대만,0.0030016538548960615,6.907204145918515,2024
1,5,2,,,,,,6.0,,,1,1,544.8698265895953,1,1,1,1351.39390400194,친구,중국,0.005505902242334384,6.300546915839649,2024
3,5,2,,2.0,,4.0,,,,,3,1,2170.56,1,1,1,754.029975950347,가족,대만,0.0013821318000884564,7.682740477757715,2024
3,5,2,,2.0,,4.0,,,,,3,1,1356.6000000000004,1,1,1,647.7272600611491,가족,대만,0.0022114108801415296,7.212736848511979,2024
3,5,2,,2.0,,,5.0,6.0,,,3,1,1033.6000000000001,1,1,1,784.2784009458401,가족,대만,0.002902476780185758,6.9408031330283375,2024
3,5,2,,,3.0,,5.0,,,,3,1,2164.1000000000004,1,1,1,829.9752930269589,가족,대만,0.0013862575666558844,7.679759849619577,2024
3,5,2,,2.0,,,,,,,3,1,2164.1000000000004,1,1,1,607.02126923042,가족,대만,0.0013862575666558844,7.679759849619577,2024
3,5,2,,,,,5.0,6.0,7.0,,3,1,969.0000000000001,1,1,1,754.029975950347,가족,대만,0.003095975232198142,6.876264611890766,2024
1,7,2,,2.0,,,,,,,1,1,4018.28309335059,1,1,1,1049.5001433881,가족,중국,0.000746587517679968,8.29860999917732,2024
1,6,2,,,3.0,,5.0,,,,1,1,589.4411710126379,1,1,1,1351.39390400194,가족,중국,0.00508956643602976,6.379174920277733,2024
1,11,1,1.0,,,,,,,,1,2,1171.6571428571428,1,1,1,1407.13774575507,혼자,중국,0.0025604760046820134,7.0661743871144385,2024
2,4,2,,2.0,,,,,,,1,2,344.57956,1,1,1,752.7158618799989,가족,일본,0.00870626220545409,5.842325007186619,2024
4,15,1,1.0,,,,,,,,1,2,4350.0,3,1,1,550.525754292935,혼자,미국,0.0011494252873563218,8.37793112408273,2024
1,5,2,,,,,5.0,,,,1,1,813.7136962314429,1,1,1,1131.89127413267,가족,중국,0.0036868004236550495,6.7016085796015625,2024
5,5,2,,2.0,,4.0,,,,,3,1,895.3,1,1,1,233.403644051684,가족,홍콩,0.0033508321233106223,6.7971588576401105,2024
1,7,2,,,,,,6.0,,,1,1,881.1367082860386,1,1,1,1351.39390400194,친구,중국,0.003404693019583207,6.781212787888904,2024
1,5,2,,,,,,6.0,,,1,1,339.0612658576945,3,1,1,1351.39390400194,친구,중국,0.014746597454450967,5.8261808162955475,2024
3,6,2,,,,,,6.0,,,1,1,484.66665591744606,1,1,1,876.7969357365749,친구,대만,0.006189821320225079,6.18346134724677,2024
5,6,2,,,,,,6.0,,,1,1,559.808355548917,1,1,1,440.32523870592104,친구,홍콩,0.005358976818161935,6.327594502923726,2024
2,4,1,1.0,,,,,,,,1,1,427.17913614214206,1,1,1,705.8631648311641,혼자,일본,0.007022814894690368,6.05720344783476,2024
2,4,2,,2.0,,,,,,,1,2,803.2935153583617,1,1,1,991.5346288190939,가족,일본,0.0037346249442355493,6.688720170644211,2024
1,5,2,,,,,,6.0,,,1,1,2027.4924516531505,1,1,1,1351.39390400194,친구,중국,0.0014796602559747627,7.614555063000221,2024
6,16,1,1.0,,,,,,,,1,1,2215.4600985221678,1,1,1,230.45809785818898,혼자,태국,0.0013541205287340371,7.7032153803316445,2024
1,9,2,,,,,,6.0,,,1,1,1464.3457627118644,1,1,1,1407.13774575507,친구,중국,0.002048696473464172,7.289163843351681,2024
5,5,2,,2.0,,,,,,,1,1,1183.0749999999998,1,1,1,345.80329057948103,가족,홍콩,0.002535764850072904,7.075872260109131,2024
