D_NAT,M일HAP,Q7A,Q7a_dk,Q7a2,Q7a3,Q7a4,Q7a5,Q7a6,Q7a7,Q7a8,D_GUB,D_MOK,총액1인TOT_개별국제교통비제외2,Q8a03,Q8a12,Q8_1a1,Q8_1a2,Q8_1a3,동행자유형,국가명,웰니스참여,웰니스만족,log_총액,year
3,5,2,,2.0,,4.0,,,,,1,1,846.3722286511188,,,1,2.0,5.0,가족,대만,0,0,6.740959249425755,2024
3,6,2,,,,4.0,,,7.0,,1,1,742.9489319800031,,12.0,12,1.0,2.0,가족,대만,1,1,6.610627310161789,2024
1,6,1,1.0,,,,,,,,1,1,727.2560968229955,3.0,,11,1.0,3.0,혼자,중국,1,1,6.58927868073377,2024
3,5,2,,,3.0,,,,,,1,1,1259.775985100961,,12.0,2,12.0,5.0,가족,대만,1,1,7.138689194536667,2024
3,5,2,,,3.0,,,,,,1,1,1024.2812110454718,,12.0,12,6.0,1.0,가족,대만,1,1,6.931746388059832,2024
3,5,2,,2.0,,4.0,,,,,1,1,879.2468212893745,,12.0,6,12.0,1.0,가족,대만,1,1,6.77906565609521,2024
1,4,2,,,,,,6.0,,,1,1,1684.5449433207384,3.0,,14,2.0,1.0,친구,중국,1,0,7.429250743001664,2024
3,7,2,,2.0,,4.0,,,,,1,1,999.4490187823077,3.0,,2,1.0,3.0,가족,대만,1,1,6.907204145918515,2024
1,5,2,,,,,,6.0,,,1,1,544.8698265895953,,,2,1.0,11.0,친구,중국,0,0,6.300546915839649,2024
3,5,2,,2.0,,4.0,,,,,3,1,2170.56,3.0,,3,16.0,1.0,가족,대만,1,1,7.682740477757715,2024
3,5,2,,2.0,,4.0,,,,,3,1,1356.6000000000004,3.0,,16,1.0,2.0,가족,대만,1,0,7.212736848511979,2024
3,5,2,,2.0,,,5.0,6.0,,,3,1,1033.6000000000001,3.0,,7,5.0,2.0,가족,대만,1,0,6.9408031330283375,2024
3,5,2,,,3.0,,5.0,,,,3,1,2164.1000000000004,3.0,,16,2.0,,가족,대만,1,0,7.679759849619577,2024
3,5,2,,2.0,,,,,,,3,1,2164.1000000000004,,,16,2.0,1.0,가족,대만,0,0,7.679759849619577,2024
3,5,2,,,,,5.0,6.0,7.0,,3,1,969.0000000000001,3.0,12.0,2,5.0,7.0,가족,대만,1,0,6.876264611890766,2024
1,7,2,,2.0,,,,,,,1,1,4018.28309335059,3.0,,1,2.0,3.0,가족,중국,1,1,8.29860999917732,2024
1,6,2,,,3.0,,5.0,,,,1,1,589.4411710126379,3.0,12.0,16,8.0,1.0,가족,중국,1,0,6.379174920277733,2024
1,11,1,1.0,,,,,,,,1,2,1171.6571428571428,3.0,,3,1.0,2.0,혼자,중국,1,1,7.0661743871144385,2024
2,4,2,,2.0,,,,,,,1,2,344.57956,3.0,,3,5.0,1.0,가족,일본,1,1,5.842325007186619,2024
4,15,1,1.0,,,,,,,,1,2,4350.0,,,10,11.0,6.0,혼자,미국,0,0,8.37793112408273,2024
1,5,2,,,,,5.0,,,,1,1,813.7136962314429,,,8,1.0,7.0,가족,중국,0,0,6.7016085796015625,2024
5,5,2,,2.0,,4.0,,,,,3,1,895.3,3.0,,3,2.0,,가족,홍콩,1,1,6.7971588576401105,2024
1,7,2,,,,,,6.0,,,1,1,881.1367082860386,3.0,,2,3.0,1.0,친구,중국,1,1,6.781212787888904,2024
1,5,2,,,,,,6.0,,,1,1,339.0612658576945,,,8,1.0,7.0,친구,중국,0,0,5.8261808162955475,2024
3,6,2,,,,,,6.0,,,1,1,484.66665591744606,3.0,,4,1.0,3.0,친구,대만,1,1,6.18346134724677,2024
5,6,2,,,,,,6.0,,,1,1,559.808355548917,3.0,,16,3.0,2.0,친구,홍콩,1,1,6.327594502923726,2024
