F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63
1,1,1,1,2,3,180,181,,13,,1,,,,,,,,,,,,,,,,1,,,,,,,,3318.31794463387,3318.31794463387,6,,,4,4,1,2,3,4,,,,,,,,,30,9,3,7,1,20,1,1,
1,1,1,1,2,3,90,91,,13,,1,17,3,2,,,,,,,,,,,,,1,2,3,,,,,8,6663.6,6663.6,6,,,5,,,,,,,,,,,,,,12,6,2,13,2,20,1,1,
1,1,1,1,4,3,120,121,,13,,1,13,,,,,,,,,,,,,,,1,,,,,6,,,3248.87,3248.87,6,,,4,,,,,,,,,,,,,,11,7,3,12,1,30,1,1,
1,1,1,1,4,7,89,90,,12,,1,13,2,,,,,,,,,,,,,,1,2,,,,6,,,7000,7000,6,,,5,,,,,,,,,,,,,,12,7,3,13,1,20,1,1,
1,1,1,1,5,13,152,153,,13,,2,4,1,,,,,,,,,,,,,,1,2,,4,,,,,8166.19847128765,8166.19847128765,6,,,4,,,,,,,,,,,,,,287,7,3,97,2,20,1,1,
1,1,1,1,5,4,210,211,,13,,1,,,,,,,,,,,,,,,,1,,,,,,,,1693.76693766938,1693.76693766938,4,,,5,5,1,3,,,,,,,,,,,2,10,4,2,2,20,1,1,
1,1,1,1,5,7,30,31,31,11,1,1,11,13,10,5,16,,,,,,,,,,,1,,,,5,6,7,,1643.89867008598,1643.89867008598,4,53.0289893576121,1,4,5,1,3,4,,,,,,,,,,30,8,3,7,1,30,1,1,1
1,1,1,13,,,90,91,,13,,1,4,2,3,,,,,,,,,,,,,1,2,3,4,,,,,1639.95,1639.95,4,,,5,,,,,,,,,,,,,,11,5,2,12,2,20,1,1,
1,1,1,13,,,90,91,,13,1,1,2,,,,,,,,,,,,,,,1,2,,,,,,,3364.25,3364.25,6,,,5,5,1,2,3,4,5,6,10,,,,,,10,9,3,11,1,20,1,1,1
1,1,1,13,1,12,182,183,,13,,1,,,,,,,,,,,,,,,,1,,,,,,,,6415.7056474249,6415.7056474249,6,,,5,,,,,,,,,,,,,,9,5,2,10,1,15,1,1,
1,1,1,2,1,,19,20,20,11,1,1,,,,,,,,,,,,,,,,1,,,,,,,,3710,3710,6,185.5,2,4,4,2,,,,,,,,,,,,2,10,4,2,1,50,1,1,1
1,1,1,2,1,4,20,21,21,11,1,1,2,,,,,,,,,,,,,,,1,2,,,,,,,2671.2,2671.2,5,127.2,2,4,4,2,,,,,,,,,,,,2,10,4,2,1,30,1,1,1
1,1,1,3,1,,120,121,,13,,1,10,,,,,,,,,,,,,,,1,,,,,6,,,1621.2,1621.2,4,,,4,,,,,,,,,,,,,,30,6,2,7,1,20,1,1,
1,1,1,3,4,,89,90,,12,,1,17,9,13,15,16,,,,,,,,,,,1,,,,,6,7,8,22500,,98,,,4,,,,,,,,,,,,,,48,5,2,97,1,40,1,1,
1,1,1,3,4,10,210,211,,13,,13,,,,,,,,,,,,,,,,,,,,,6,,,3000,3000,5,,,5,4,1,2,4,8,,,,,,,,,13,8,3,14,2,30,1,1,
1,1,1,3,7,12,181,182,,13,,14,13,,,,,,,,,,,,,,,,,,,,6,7,,12249.2977069315,,98,,,5,,,,,,,,,,,,,,13,7,3,14,2,30,1,1,
1,1,1,4,10,1,60,61,,12,1,1,,,,,,,,,,,,,,,,1,,,,,,,,4000,4000,6,,,5,4,2,3,4,6,10,,,,,,,,8,11,4,9,1,20,1,1,1
1,1,1,4,3,1,85,86,,12,,11,13,1,,,,,,,,,,,,,,1,,,,,6,,,5000,5000,6,,,5,,,,,,,,,,,,,,8,5,2,9,2,20,1,1,
1,1,1,4,3,10,21,22,22,11,1,1,,,,,,,,,,,,,,,,1,,,,,,,,2000,2000,4,90.9090909090909,1,5,5,4,3,,,,,,,,,,,8,11,4,9,2,30,1,1,1
1,1,1,4,3,10,87,88,,12,,1,13,17,10,,,,,,,,,,,,,1,,,,,6,,8,9908.8,9908.8,6,,,5,,,,,,,,,,,,,,10,6,2,11,2,30,1,1,
1,1,1,4,3,6,150,151,,13,,1,2,4,13,14,16,17,,,,,,,,,,1,2,,4,,6,7,8,4416.6,4416.6,6,,,5,,,,,,,,,,,,,,9,7,3,10,2,20,1,1,
1,1,1,4,9,11,243,244,,13,,14,1,11,13,2,5,,,,,,,,,,,1,2,,,5,6,7,,8000,8000,6,,,5,5,3,2,5,4,10,12,,,,,,,71,9,3,15,1,20,1,1,
1,1,1,5,4,1,300,301,,13,,1,3,,,,,,,,,,,,,,,1,,3,,,,,,7092.8902641215,7092.8902641215,6,,,5,5,1,2,3,,,,,,,,,,2,12,4,2,1,50,1,1,
1,1,1,7,4,1,120,121,,13,,1,3,,,,,,,,,,,,,,,1,,3,,,,,,5000,5000,6,,,3,,,,,,,,,,,,,,35,7,3,20,1,30,1,1,
1,1,1,8,,,116,117,,13,1,1,3,,,,,,,,,,,,,,,1,,3,,,,,,8219.49335042988,8219.49335042988,6,,,5,3,11,2,,,,,,,,,,,13,8,3,14,2,40,1,1,1
1,1,2,1,2,3,364,365,,13,,1,11,13,,,,,,,,,,,,,,1,,,,,6,,,20137.7587085532,,98,,,5,3,1,2,3,,,,,,,,,,13,8,3,14,2,20,2,1,
1,1,2,1,2,3,364,365,,13,,4,15,9,13,1,2,,,,,,,,,,,1,2,,4,,6,7,,20548.7333760747,,98,,,5,4,1,2,3,,,,,,,,,,13,8,3,14,1,30,2,1,
