F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75
1,1,1,2,2,1,2,2,2,1,3,,,,,,,,,,,,,,,,,14,,,,,,3,,,,,,,,,,,,,,,,,3,,,,,,3000,3000,3,1500,1500,5,4,4,4,10,4,97,1,3,3,2,1,1,
1,1,1,2,2,1,2,2,2,1,3,,,,1,,,,,,,,,,,,,14,,,,,,,,,,7,,,,,,,,,,,,,,,5,,,,2000,2000,2,1000,1000,5,5,5,5,7,3,9,2,3,3,2,1,1,
1,1,10,11,11,11,2,11,11,11,1,3,1,,1,2,3,4,5,,,,,,,,,,,,,1,2,3,,,,,,,,,,13,,,,17,1,2,3,,,6,,8,2199.9,2199.9,3,199.990909090909,199.990909090909,3,5,5,5,12,4,4,1,2,1,2,1,1,
1,1,10,11,11,11,2,11,11,11,2,13,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,10000,10000,5,909.090909090909,909.090909090909,5,5,5,5,9,3,9,2,5,2,2,2,1,
1,1,10,11,11,11,2,11,11,11,2,13,,,,2,,,,,,,,,,,,,,,17,1,,,,,,,,,,11,,,,,,,1,,,,,6,,,2000,2000,2,181.818181818182,181.818181818182,3,5,3,5,10,4,9,1,3,2,2,2,1,
1,1,10,11,11,11,2,11,11,11,2,13,,,,2,3,4,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,1,2,,,,,,,4000,4000,4,363.636363636364,363.636363636364,4,4,3,3,9,3,9,1,5,2,2,2,1,
1,1,10,11,11,11,2,11,11,11,2,13,,,1,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,2500,2500,3,227.272727272727,227.272727272727,3,5,4,4,9,3,9,2,6,2,2,2,1,
1,1,10,11,11,11,2,11,11,11,2,13,,,1,2,,4,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,1,2,,,,,,,3500,3500,4,318.181818181818,318.181818181818,4,4,2,4,9,3,9,2,5,2,2,2,1,
1,1,10,11,11,11,2,11,11,11,2,13,,,1,2,3,4,,,,,,,,,,,,,,1,,,,,,,,9,,,,,,,,,1,,,,,6,,,2500,2500,3,227.272727272727,227.272727272727,3,5,5,5,9,3,9,2,5,2,2,2,1,
1,1,10,11,11,11,2,11,11,11,2,13,,,1,2,3,4,,,,,,,,,,,,,,1,2,,4,,,,,,,,,,,,,,1,2,,4,,,,,1500,1500,2,136.363636363636,136.363636363636,3,5,5,5,9,3,9,1,5,2,2,2,1,
1,1,10,11,11,11,2,11,11,11,2,13,,,1,2,3,4,5,,,,,,,,,,,,,1,2,,4,,,,,,,,,,,,,,1,2,,4,,,,,1500,1500,2,136.363636363636,136.363636363636,3,5,5,5,9,3,9,2,5,2,2,2,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,13,,,,,,,,,,6,,,1783.5,1783.5,2,162.136363636364,162.136363636364,3,5,5,5,8,3,12,1,3,3,2,1,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,12,,,,,,,,,,,6,,,500,500,1,45.4545454545455,45.4545454545455,1,4,4,5,6,2,17,1,3,3,2,1,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,12,,,,,,,,,,,6,,,500,500,1,45.4545454545455,45.4545454545455,1,5,3,5,6,2,17,1,3,3,2,1,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,12,,,,,,,,,,,6,,,8110.2,8110.2,5,737.290909090909,737.290909090909,5,5,5,5,10,4,12,1,2,3,2,1,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,10,,,,,,,,,,,,,6,,,2200,2200,3,200,200,3,3,3,3,7,3,9,1,4,3,2,2,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,10,,,,,,,,,,,,,6,,,3700,3700,4,336.363636363636,336.363636363636,4,4,4,4,4,2,9,1,4,3,2,1,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,9,,,,,,,,,,,,,,6,,,6331.5,6331.5,5,575.590909090909,575.590909090909,5,4,4,3,4,2,97,1,3,3,2,1,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,,,,,,,,,,,,14,,,,,,,,,6,,,,,,,,,,,,,,,,5,,,,4000,4000,4,363.636363636364,363.636363636364,4,5,5,5,10,4,9,1,4,3,2,2,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,,,,,,,,,,,,14,,,,,,3,,,,,,,,,,,,,,,,,3,,,,,,2411,2411,3,219.181818181818,219.181818181818,3,4,4,4,5,2,12,1,3,3,2,1,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,,,,,,,,,,,,14,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,2000,2000,2,181.818181818182,181.818181818182,3,4,3,4,10,4,9,1,2,3,2,2,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,,,,,,,,,,,,14,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,2615.8,2615.8,3,237.8,237.8,3,4,3,4,8,3,97,1,4,3,2,1,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,,,,,,,,,,,,14,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,5000,5000,4,454.545454545455,454.545454545455,4,5,5,5,10,4,9,1,4,3,2,2,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,,,,,,,,,,,,14,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,8000,8000,5,727.272727272727,727.272727272727,5,5,5,5,7,3,9,1,3,3,2,2,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,,,,,,,,,,,,14,,,,,2,3,,,,,,,,,,,,,,,,2,3,,,,,,5785.5,5785.5,5,525.954545454546,525.954545454546,5,4,4,4,11,4,97,1,3,3,2,1,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1000,1000,1,90.9090909090909,90.9090909090909,2,4,5,3,8,3,15,2,5,3,2,1,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,4049.85,4049.85,4,368.168181818182,368.168181818182,4,3,4,4,11,4,12,1,4,3,2,2,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,4634.4,4634.4,4,421.309090909091,421.309090909091,4,5,5,5,10,4,13,2,5,3,2,2,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,5000,5000,4,454.545454545455,454.545454545455,4,5,5,5,10,4,9,1,6,3,2,2,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,5547.29,5547.29,5,504.299090909091,504.299090909091,5,4,4,4,12,4,97,1,3,3,2,1,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,6000,6000,5,545.454545454546,545.454545454546,5,5,5,5,10,4,9,2,2,3,2,2,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,,4,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1000,1000,1,90.9090909090909,90.9090909090909,2,5,5,5,11,4,97,1,3,3,2,1,1,
