기준년월,행정동명,방문자 구분,방문자 수,시설이름,시도,시군,지정년도
202304,효령면,외지인방문자(b),114258,사유원,대구광역시,군위군,2024
202304,효령면,전체방문자(a+b),173660,사유원,대구광역시,군위군,2024
202304,효령면,현지인방문자(a),59402,사유원,대구광역시,군위군,2024
202305,효령면,외지인방문자(b),120988,사유원,대구광역시,군위군,2024
202305,효령면,전체방문자(a+b),183386,사유원,대구광역시,군위군,2024
202305,효령면,현지인방문자(a),62398,사유원,대구광역시,군위군,2024
202306,효령면,외지인방문자(b),104556,사유원,대구광역시,군위군,2024
202306,효령면,전체방문자(a+b),155141,사유원,대구광역시,군위군,2024
202306,효령면,현지인방문자(a),50586,사유원,대구광역시,군위군,2024
202307,효령면,외지인방문자(b),111265,사유원,대구광역시,군위군,2024
202307,효령면,전체방문자(a+b),159131,사유원,대구광역시,군위군,2024
202307,효령면,현지인방문자(a),47866,사유원,대구광역시,군위군,2024
202308,효령면,외지인방문자(b),115549,사유원,대구광역시,군위군,2024
202308,효령면,전체방문자(a+b),165350,사유원,대구광역시,군위군,2024
202308,효령면,현지인방문자(a),49802,사유원,대구광역시,군위군,2024
202309,효령면,외지인방문자(b),146475,사유원,대구광역시,군위군,2024
202309,효령면,전체방문자(a+b),192871,사유원,대구광역시,군위군,2024
202309,효령면,현지인방문자(a),46396,사유원,대구광역시,군위군,2024
202310,효령면,외지인방문자(b),119707,사유원,대구광역시,군위군,2024
202310,효령면,전체방문자(a+b),178482,사유원,대구광역시,군위군,2024
202310,효령면,현지인방문자(a),58776,사유원,대구광역시,군위군,2024
202311,효령면,외지인방문자(b),96656,사유원,대구광역시,군위군,2024
202311,효령면,전체방문자(a+b),154696,사유원,대구광역시,군위군,2024
202311,효령면,현지인방문자(a),58040,사유원,대구광역시,군위군,2024
202312,효령면,외지인방문자(b),93600,사유원,대구광역시,군위군,2024
202312,효령면,전체방문자(a+b),145614,사유원,대구광역시,군위군,2024
202312,효령면,현지인방문자(a),52014,사유원,대구광역시,군위군,2024
202401,효령면,외지인방문자(b),85113,사유원,대구광역시,군위군,2024
202401,효령면,전체방문자(a+b),138512,사유원,대구광역시,군위군,2024
202401,효령면,현지인방문자(a),53400,사유원,대구광역시,군위군,2024
202402,효령면,외지인방문자(b),107212,사유원,대구광역시,군위군,2024
202402,효령면,전체방문자(a+b),155526,사유원,대구광역시,군위군,2024
202402,효령면,현지인방문자(a),48314,사유원,대구광역시,군위군,2024
202403,효령면,외지인방문자(b),109462,사유원,대구광역시,군위군,2024
202403,효령면,전체방문자(a+b),164462,사유원,대구광역시,군위군,2024
202403,효령면,현지인방문자(a),54999,사유원,대구광역시,군위군,2024
202304,효령면,외국인방문객,1140,사유원,대구광역시,군위군,2024
202306,효령면,외국인방문객,834,사유원,대구광역시,군위군,2024
202305,효령면,외국인방문객,1184,사유원,대구광역시,군위군,2024
202307,효령면,외국인방문객,903,사유원,대구광역시,군위군,2024
202308,효령면,외국인방문객,1177,사유원,대구광역시,군위군,2024
202309,효령면,외국인방문객,997,사유원,대구광역시,군위군,2024
202310,효령면,외국인방문객,1205,사유원,대구광역시,군위군,2024
202311,효령면,외국인방문객,742,사유원,대구광역시,군위군,2024
202401,효령면,외국인방문객,451,사유원,대구광역시,군위군,2024
202402,효령면,외국인방문객,799,사유원,대구광역시,군위군,2024
202403,효령면,외국인방문객,562,사유원,대구광역시,군위군,2024
202312,효령면,외국인방문객,745,사유원,대구광역시,군위군,2024
202404,효령면,외국인방문객,794,사유원,대구광역시,군위군,2024
202411,효령면,외국인방문객,1239,사유원,대구광역시,군위군,2024
202407,효령면,외국인방문객,645,사유원,대구광역시,군위군,2024
202406,효령면,외국인방문객,823,사유원,대구광역시,군위군,2024
202405,효령면,외국인방문객,856,사유원,대구광역시,군위군,2024
202408,효령면,외국인방문객,920,사유원,대구광역시,군위군,2024
202410,효령면,외국인방문객,1416,사유원,대구광역시,군위군,2024
202409,효령면,외국인방문객,863,사유원,대구광역시,군위군,2024
202412,효령면,외국인방문객,878,사유원,대구광역시,군위군,2024
202501,효령면,외국인방문객,579,사유원,대구광역시,군위군,2024
202502,효령면,외국인방문객,440,사유원,대구광역시,군위군,2024
202503,효령면,외국인방문객,703,사유원,대구광역시,군위군,2024
202404,효령면,외지인방문자(b),108874,사유원,대구광역시,군위군,2024
202404,효령면,전체방문자(a+b),162960,사유원,대구광역시,군위군,2024
202404,효령면,현지인방문자(a),54086,사유원,대구광역시,군위군,2024
202405,효령면,외지인방문자(b),121216,사유원,대구광역시,군위군,2024
202405,효령면,전체방문자(a+b),180733,사유원,대구광역시,군위군,2024
202405,효령면,현지인방문자(a),59518,사유원,대구광역시,군위군,2024
202406,효령면,외지인방문자(b),113813,사유원,대구광역시,군위군,2024
202406,효령면,전체방문자(a+b),172960,사유원,대구광역시,군위군,2024
202406,효령면,현지인방문자(a),59146,사유원,대구광역시,군위군,2024
202407,효령면,외지인방문자(b),105878,사유원,대구광역시,군위군,2024
202407,효령면,전체방문자(a+b),161472,사유원,대구광역시,군위군,2024
202407,효령면,현지인방문자(a),55594,사유원,대구광역시,군위군,2024
202408,효령면,외지인방문자(b),114695,사유원,대구광역시,군위군,2024
202408,효령면,전체방문자(a+b),167412,사유원,대구광역시,군위군,2024
202408,효령면,현지인방문자(a),52717,사유원,대구광역시,군위군,2024
202409,효령면,외지인방문자(b),148512,사유원,대구광역시,군위군,2024
202409,효령면,전체방문자(a+b),207081,사유원,대구광역시,군위군,2024
202409,효령면,현지인방문자(a),58569,사유원,대구광역시,군위군,2024
202410,효령면,외지인방문자(b),110968,사유원,대구광역시,군위군,2024
