순위,광역시/도,시/군/구,관광지명,검색건수,기준년도,지정년도,지정구분
2,강원특별자치도,원주시,오크밸리CC,86108,2324,2024,전
2,강원특별자치도,원주시,오크밸리CC,78334,2425,2024,후
NaN,인천광역시,강화군,금풍양조장,NaN,2324,2024,전
NaN,인천광역시,강화군,금풍양조장,NaN,2425,2024,후
10,충청북도,영동군,레인보우힐링센터,5053,2425,2024,후
12,충청북도,영동군,레인보우힐링센터,3436,2324,2024,전
17,경기도,양평군,미리내힐빙클럽,10665,2425,2024,후
19,경기도,양평군,미리내힐빙클럽,9531,2324,2024,전
NaN,대구광역시,수성구,한국전통문화체험관,NaN,2425,2024,후
NaN,대구광역시,수성구,한국전통문화체험관,NaN,2324,2024,전
8,대구광역시,군위군,사유원,7914,2324,2024,전
7,대구광역시,군위군,사유원,9649,2425,2024,후
22,부산광역시,해운대구,클럽디오아시스,18756,2324,2024,전
18,부산광역시,해운대구,클럽디오아시스,23791,2425,2024,후
NaN,전라남도,완도군,완도해양치유센터,NaN,2425,2024,후
NaN,전라남도,완도군,완도해양치유센터,NaN,2324,2024,전
16,전북특별자치도,순창군,쉴랜드,1381,2324,2024,전
13,전북특별자치도,순창군,쉴랜드,1946,2425,2024,후
26,제주특별자치도,서귀포시,JW메리어트제주,15646,2425,2024,후
61,제주특별자치도,서귀포시,JW메리어트제주,9073,2324,2024,전
311,제주특별자치도,서귀포시,취다선리조트,1143,2425,2024,후
265,제주특별자치도,서귀포시,취다선리조트,1738,2324,2024,전
NaN,경상북도,영주시,소백산 생태탐방원,NaN,2425,2024,후
NaN,경상북도,영주시,소백산 생태탐방원,NaN,2324,2024,전
9,인천광역시,연수구,경원재앰배서더호텔인천,17390,2425,2024,후
8,인천광역시,연수구,경원재앰배서더호텔인천,20913,2324,2024,전
41,강원특별자치도,삼척시,삼척활기자연휴양림,4196,2223,2023,전
37,강원특별자치도,삼척시,삼척활기자연휴양림,3499,2324,2023,후
38,강원특별자치도,영월군,하이힐링원,795,2324,2023,후
56,강원특별자치도,영월군,하이힐링원,637,2223,2023,전
88,경상남도,양산시,숲애서,1293,2223,2023,전
70,경상남도,양산시,숲애서,2087,2324,2023,후
15,경상북도,칠곡군,국립칠곡숲체원,6527,2324,2023,후
18,경상북도,칠곡군,국립칠곡숲체원,5381,2223,2023,전
189,인천광역시,중구,현대요트인천지점,324,2223,2023,전
168,인천광역시,중구,현대요트인천지점,542,2324,2023,후
42,충청북도,제천시,국립제천치유의숲,2303,2223,2023,전
36,충청북도,제천시,국립제천치유의숲,2272,2324,2023,후
